id,rtti_name,short_name,vtable_rva
297,ObjectMiningDroneModeChangedEvent,objectminingdronemodechanged,0x2b551e0
298,ObjectMiningDronesArmedEvent,objectminingdronesarmed,0x2a96a70
299,ObjectMiningDronesDisarmedEvent,objectminingdronesdisarmed,0x2a96aa8
300,ObjectMovedIntoInternalStorageEvent,objectmovedintointernalstorage,0x2b569f0
301,ObjectOpenedLockboxEvent,objectopenedlockbox,0x2b52ee0
302,ObjectPickedUpEvent,objectpickedup,0x2b56fa0
303,ObjectRelationRangeChangedEvent,objectrelationrangechanged,0x2b55678
304,ObjectRetrievedFromInternalStorageEvent,objectretrievedfrominternalstorage,0x2b56a60
305,ObjectSignalledEvent,objectsignalled,0x2b53dc0
306,ObjectTransportDroneModeChangedEvent,objecttransportdronemodechanged,0x2b550c8
307,ObjectTransportDronesArmedEvent,objecttransportdronesarmed,0x2a96ae0
308,ObjectTransportDronesDisarmedEvent,objecttransportdronesdisarmed,0x2a96b18
309,ObjectTriggeredEvent,objecttriggered,0x2b54108
310,ObjectUndockedEvent,objectundocked,0x2b56280
311,ObjectUndockingStartedEvent,objectundockingstarted,0x2b56168
312,ObjectWeaponModeChangedEvent,objectweaponmodechanged,0x2b55090
313,ObservationStartedEvent,observationstarted,0x2b54418
314,ObservationStoppedEvent,observationstopped,0x2b543e0
315,,onlinemissionofferrequested,
316,,onlineoperationupdated,
317,OpenLockboxEvent,openlockbox,0x2b52dc8
318,OpenScenarioSelectionMenuEvent,openscenarioselectionmenu,0x2b52c08
319,OutOfAmmoEvent,outofammo,0x2b56bb0
320,OxygenEmptyEvent,oxygenempty,0x2b37448
321,OxygenLowEvent,oxygenlow,0x2b535a8
322,PaidBuildPlotChangedEvent,paidbuildplotchanged,0x2b57da0
323,PauseEvent,pause,0x2b5c930
324,PerformTransporterTransitionEvent,performtransportertransition,0x2b575f8
325,PhaseStartedEvent,phasestarted,0x2b52930
326,PhysicalChildAddedEvent,physicalchildadded,0x2b558e0
327,PhysicalChildChangedSizeEvent,physicalchildchangedsize,0x2b557c8
328,PhysicalChildRemovedEvent,physicalchildremoved,0x2b55790
329,PickedUpObjectEvent,pickedupobject,0x2b57048
330,PlatformActorCreatedEvent,platformactorcreated,0x2b54530
